Handle,Title,Product Category,Type,Tags,Published,Image Src,Status
adjustable-crossbody-strap-black-cream-checker-nylon-webbing-w-cuoio-tabs,D3 ALT Adjustable Webbing Strap - BLACK & CREAM CHECKER NYLON WEBBING  W/ CUOIO TABS,Uncategorized,STRAPS - ADJUSTABLE STRAP - SYNTHETIC WEBBING,"2-year-warranty, add-on::crossbody-bags, Category:Accessories, FALL-24, material::care_guides_checkjacquard",False,,active
sissy-new-look-black,"D3 ALT Sissy - NEW LOOK -, BLACK",Uncategorized,HANDBAGS - CLUTCH - SISSY,"2-year-warranty, add-on::mini-bag-straps, FALL-24, material::care_guides_newlook",False,,active
original-tee-black-w-cream-block-ciao-updated,Original Tee,Uncategorized,APPAREL - TEES - ORIGINAL FIT,"FALL-24, material::care_guides_OGTee, MGM --embroidery_placement:bottom-right(3) --fonts:script, Personalization:Embroidery",False,https://cdn.shopify.com/s/files/1/1240/1014/files/Original-Fit-Tee---AP-TT-OG-100059-BLK---Danica_1_3af088e6-db28-4c6a-8cba-4a01dd43aa61.jpg?v=1720730475,active
original-tee-black-w-cream-block-ciao-updated,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Original-Fit-Tee---AP-TT-OG-100059-BLK---Danica_2_948af6a6-076d-490d-b619-39c08b46c5f0.jpg?v=1720730474,
original-tee-black-w-cream-block-ciao-updated,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Original-Fit-Tee---AP-TT-OG-100059-BLK---Candice_1_a1757fa5-1b5e-48fb-9e02-eb85a4096175.jpg?v=1720730475,
original-tee-black-w-cream-block-ciao-updated,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/trucker-black-w-ciao_swatch.jpg?v=1720730701,
original-tee-black-w-cream-block-ciao-updated,,,,,,,
original-tee-black-w-cream-block-ciao-updated,,,,,,,
mariner-chain-necklace-16-sterling-silver,"8/22 D2 ALT RCVD Mariner Chain Necklace - 16"" -, STERLING SILVER",Uncategorized,JEWELRY - NECKLACES - NECKLACE,"ALLOCATED, catalogFALL24, Category:Accessories, ClareVJewelryCollection, cp-fall24, CVFineJewelry-NoDiscounts, FALL-24, material::care_guides_sterling",False,,active
le-link-necklace-clear-vintage-gold,"D3 ALT Le Link Necklace  -, CLEAR / VINTAGE GOLD",Uncategorized,JEWELRY - NECKLACES - NECKLACE,"Category:Accessories, ClareVJewelryCollection, FALL-24, material::care_guides_CVjewelry",False,,active
la-gemme-grande-charm-sapphire-vintage-gold,La Gemme Grande Charm,Uncategorized,JEWELRY - CHARMS - CHARMS,"add-on::cv-charm-chains, Category:Accessories, ClareVJewelryCollection, FALL-24, le-cute-show, material::care_guides_CVjewelry, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/La-Gemme-Grande-Charm---JW-CH-HM-100103-VGSPH---front.jpg?v=1721773260,active
la-gemme-grande-charm-sapphire-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/La-Gemme-Grande-Charm---JW-CH-HM-100103-VGSPH---Sonnie_1.jpg?v=1721777095,
la-gemme-grande-charm-sapphire-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/sapphire-grande-gemme-charm_swatch.jpg?v=1721773251,
baroque-pearl-statement-collar-cream-vintage-gold,D3 ALT Baroque Pearl Statement Collar - CREAM / VINTAGE GOLD,Uncategorized,JEWELRY - NECKLACES - NECKLACE,"add-on::charms, Category:Accessories, ClareVJewelryCollection, cp-fall24, FALL-24, material::care_guides_CVjewelry",False,,active
dome-stud-earrings-silver,"8/22 D2 ALT RCVD Dome Stud Earrings -, SILVER",Uncategorized,JEWELRY - EARRINGS - EARRINGS,"ALLOCATED, catalogFALL24, Category:Accessories, ClareVJewelryCollection, cp-fall24, FALL-24, material::care_guides_cvearrings",False,https://cdn.shopify.com/s/files/1/1240/1014/files/Dome-Stud-Earrings---JW-ER-EA-100067-SILVE---Noma_2.jpg?v=1723071631,active
dome-stud-earrings-silver,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Classic-Tee-Oui---AP-TT-IT-100097-FDBLK---Noma_1.jpg?v=1723071633,
le-book-locket-poppy-vintage-gold,Le Book Locket,Uncategorized,JEWELRY - CHARMS - CHARMS,"add-on::cv-charm-chains, catalogFALL24, Category:Accessories, ClareVJewelryCollection, cp-fall24, FALL-24, le-cute-show, material::care_guides_CVjewelry, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Book-Locket---JW-CH-HM-100109-VGPOP---front.jpg?v=1721773872,active
le-book-locket-poppy-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Book-Locket---JW-CH-HM-100109-VGPOP---back.jpg?v=1721773872,
le-book-locket-poppy-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Book-Locket---JW-CH-HM-100109-VGPOP---Sonnie_1_8ee6fdfb-f5d9-4a21-afa6-1d02abdbb6d1.jpg?v=1721775815,
le-book-locket-poppy-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/book-locket-charm_swatch.jpg?v=1721774046,
framed-heart-charm-onyx-vintage-gold,Framed Heart Charm,Uncategorized,JEWELRY - CHARMS - CHARMS,"add-on::cv-charm-chains, catalogFALL24, Category:Accessories, ClareVJewelryCollection, FALL-24, le-cute-show, material::care_guides_CVjewelry, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Framed-Heart-Charm---JW-CH-HM-100105-VGBKO---front.jpg?v=1721771586,active
framed-heart-charm-onyx-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Framed-Heart-Charm---JW-CH-HM-100105-VGBKO---Sonnie_1.jpg?v=1721776718,
